Epoch,Pride and Prejudice,Ulysses
1,5.988782027361674,7.525238504657498
2,5.014135329253924,6.127070833435465
3,4.408368625014957,5.2260657968498885
4,3.908786490801446,4.492946653139024
5,3.5051420256968697,3.9423951141603224
